subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T15:20:00Z,23,44.22578260869565,29.65526086956522,73.88104347826086,28.25021501761539,13.549700654920192,33.074274178084615,13.5382,48.0526,52.062
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T15:30:00Z,20,40.23535,31.57975,71.8151,25.611477135877557,9.677533580275938,25.109137996690407,19.9651,47.431,47.431
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T15:40:00Z,14,45.84514285714286,28.310285714285715,74.15542857142857,26.05107100664782,16.066532785832848,23.60572060951551,13.908999999999999,46.73650000000002,57.6977
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T15:50:00Z,20,51.021950000000004,26.13145,77.1534,44.318364955916294,9.239544585923223,46.56420091194975,15.350900000000005,37.466,39.84785000000001
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:00:00Z,19,43.4241052631579,33.66478947368421,77.08889473684211,38.36537732107302,19.893483758867564,51.878840050528346,13.974599999999999,46.05259999999999,62.14699999999991
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:10:00Z,14,50.76614285714286,20.937285714285714,71.70342857142857,46.07507436090188,14.394638421881368,52.894083744657244,4.9990999999999985,38.12540000000001,46.7526
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:20:00Z,12,57.919666666666664,29.087666666666667,87.00733333333334,33.38219785599759,18.603390489289037,38.98897981442573,17.2855,40.63230000000001,59.913449999999976
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:30:00Z,18,51.42516666666667,31.30388888888889,82.72905555555556,30.154584430017582,17.73857207891021,38.883711843925575,16.396,46.688500000000005,55.90284999999996
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:40:00Z,13,51.717999999999996,19.877384615384617,71.59538461538462,24.92690136846803,14.708557415885839,33.978397275667334,6.7998,41.964200000000005,43.053999999999995
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T16:50:00Z,25,44.88172,29.05632,73.93804,29.879857834501156,12.264964732657543,31.912916942673853,15.1046,40.98480000000001,53.307999999999964
2nd to Broad,direction-1,7,14883,9th St,2021-01-01T17:00:00Z,29,35.46706896551724,20.84851724137931,56.315586206896555,23.026363440213224,10.347641662374398,25.220226907211433,10.5378,30.245800000000003,38.559999999999974
