subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T15:50:00Z,34,48.237,73.14005882352942,121.37705882352941,22.278624051686037,37.67742568486944,47.349100576361266,34.4532,137.696,149.57069999999987
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:00:00Z,15,40.30446666666667,58.52726666666667,98.83173333333333,24.40179431302621,15.396766814899191,35.75039076802751,33.129400000000004,69.2332,75.06609999999998
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:10:00Z,31,37.772354838709674,57.329741935483874,95.10209677419354,25.974814601261208,16.639560378743468,36.9870802022858,35.623,77.905,79.1165
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:20:00Z,20,56.55895,56.474199999999996,113.03314999999999,36.66706322612908,22.802166112709095,46.308386623949204,30.357899999999997,79.43800000000003,101.08675000000001
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:30:00Z,34,58.41426470588235,58.115911764705885,116.53017647058823,43.454702957328166,18.721220340901517,50.71590624578793,34.0448,79.8357,81.36005
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:40:00Z,35,54.01714285714286,63.100457142857145,117.1176,44.604255790189335,21.98473704954906,56.58932487212012,36.485200000000006,89.6618,97.68249999999998
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T16:50:00Z,20,47.5128,57.40885,104.92165,20.15099909655781,15.748452927443214,23.272519191154007,40.069700000000005,75.4808,80.3569
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T17:00:00Z,29,41.48589655172414,61.43006896551724,102.91596551724137,18.621306246081257,16.1338918582924,27.35403167526911,37.2616,79.726,80.8986
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T17:10:00Z,24,52.66683333333333,57.90920833333333,110.57604166666667,18.229476771490695,30.472815627359708,39.246027611199814,29.8149,86.41449999999999,104.12044999999996
2nd to Broad,direction-1,5,14881,7th St,2021-01-01T17:20:00Z,30,44.31753333333333,67.74096666666667,112.0585,21.583049197721447,31.937095482000814,35.60093831362236,36.3919,88.1413,97.14054999999999
