subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
23rd to Broad,direction-0,10,6115,Broad St,2021-01-01T17:40:00Z,14,46.024071428571425,70.02142857142857,116.04549999999999,42.3865250530334,39.41300358572474,52.75409332969776,34.263999999999996,134.20950000000005,154.76425
23rd to Broad,direction-0,10,6115,Broad St,2021-01-01T17:50:00Z,26,62.538346153846156,40.85207692307692,103.39042307692308,48.35651819636506,33.54842893719237,52.30967957246389,12.8235,94.27449999999999,107.82325
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:00:00Z,11,45.31518181818182,21.89209090909091,67.20727272727272,26.117054967274477,14.460886746355117,34.921360978893446,11.618,43.773,47.0945
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:10:00Z,31,43.9561935483871,22.581290322580646,66.53748387096775,20.009904646481708,15.132523235718818,26.422491415296133,14.936,29.697,49.263000000000005
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:20:00Z,16,45.2198125,13.9569375,59.17675,23.246801007791017,9.72268904140379,28.61072420497834,6.123,23.061999999999998,30.01625
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:30:00Z,31,26.500064516129033,33.442193548387095,59.94225806451613,20.88739881832343,12.784524940774698,23.52499397799107,16.606,46.85,47.9965
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:40:00Z,14,35.28407142857143,35.613571428571426,70.89764285714286,20.491961558937373,15.459619503299981,21.52971651036036,19.153399999999998,57.6652,58.8604
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T15:50:00Z,23,47.943217391304344,31.713434782608697,79.65665217391305,19.07886085306439,13.52302615348451,24.29634187132012,15.702200000000001,47.847600000000014,57.01859999999999
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:00:00Z,45,51.82911111111111,32.946577777777776,84.7756888888889,59.10908658428316,16.627659977892378,61.23572197991145,20.2832,43.746,53.02399999999999
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:10:00Z,25,47.886,33.03308,80.91908000000001,23.629785651094394,10.310560508203874,27.518763887754844,24.5856,51.1596,52.59639999999999
