stop_id,stop_name,agency_id,stop_lat,stop_lon,daily_ons,daily_offs,average_load
SEPTA23343,Ashton Rd & Jenny Pl - MBFS,SEPTA,40.058983,-75.026096,1,6,18.614035087719298
SEPTA23344,Ashton Rd & Tolbut St - FS,SEPTA,40.060567,-75.024455,2,1,18.596491228070175
SEPTA23345,Ashton Rd & Maxwell St,SEPTA,40.061261,-75.023765,9,12,18.517543859649123
SEPTA23346,Ashton Rd & Tremont St,SEPTA,40.062533,-75.022492,9,41,18.20175438596491
SEPTA23348,Ashton Rd & Ryerson Rd,SEPTA,40.064455,-75.020589,3,16,14.982142857142858
SEPTA23350,Ashton Rd & Woodbridge Rd,SEPTA,40.066359,-75.018733,29,74,14.178571428571429
SEPTA23351,Ashton Rd & Norcross Ln - FS,SEPTA,40.068529,-75.01658,22,42,13.803571428571429
SEPTA23352,Ashton Rd & Saxton Rd - MBFS,SEPTA,40.070255,-75.014843,17,18,13.857142857142858
SEPTA23353,Ashton Rd & Grant Av,SEPTA,40.071857,-75.013237,10,20,13.75
SEPTA23354,Grant Av & Ashton Rd - MBFS,SEPTA,40.070885,-75.010865,2,18,18.757575757575758
SEPTA23355,Academy Rd & Glenn St,SEPTA,40.074273,-75.001973,0,0,14.545454545454545
SEPTA23356,Academy Rd & President St,SEPTA,40.075021,-75.001507,0,0,14.537190082644628
SEPTA23357,Academy Rd & Avalon St,SEPTA,40.075707,-75.000888,2,9,14.388429752066116
SEPTA23358,Academy Rd & Avalon St - MBFS,SEPTA,40.077229,-74.99966,1,4,14.330578512396695
SEPTA23359,Academy Rd & Morrell Av,SEPTA,40.078555,-74.998529,1,32,14.008264462809917
SEPTA23360,Academy Rd & Red Lion Rd,SEPTA,40.079827,-74.997291,0,16,12.411764705882353
SEPTA23361,Red Lion Rd & Drummond Rd - FS Route 50,SEPTA,40.081573,-74.998913,2,7,17.71875
SEPTA23362,Comly Rd & Comly Pl,SEPTA,40.090692,-74.985251,0,19,13.607142857142858
SEPTA23363,Academy Rd & Newberry Rd,SEPTA,40.092081,-74.981882,1,14,10.6
SEPTA23364,Academy Rd & Woodhaven Rd,SEPTA,40.093432,-74.980182,6,77,10
SEPTA23365,Academy Rd & Fairdale Rd,SEPTA,40.094871,-74.978256,2,44,9.716666666666667
SEPTA23366,Academy Rd & Byberry Rd,SEPTA,40.09583,-74.976901,12,119,8.949579831932773
SEPTA23370,Knights Rd & Lakewood Av,SEPTA,40.099654,-74.956097,2,6,11.46
SEPTA23371,Street Rd & Knights Rd - FS,SEPTA,40.105462,-74.95084,11,39,8.75
SEPTA23372,Street Rd & Knights Rd - MBFS,SEPTA,40.106687,-74.951447,0,0,8.75
SEPTA23373,Street Rd & Mechanicsville Rd - MBNS,SEPTA,40.109173,-74.952555,2,29,8.316666666666666
SEPTA23374,Street Rd & Mechanicsville Rd - MBFS,SEPTA,40.112045,-74.954323,1,3,8.216666666666667
SEPTA23375,Street Rd & Tillman Dr,SEPTA,40.11528,-74.957745,0,65,7.15
SEPTA23376,Street Rd & Tillman Dr - south,SEPTA,40.115495,-74.958111,57,1,9.433333333333334
SEPTA23377,Street Rd & Mechanicsville Rd,SEPTA,40.111607,-74.954136,4,2,9.45
SEPTA23379,Street Rd & Knights Rd - MBNS,SEPTA,40.106223,-74.951438,9,6,9.666666666666666
