stop_id,agency_id,route_id
13799,SEPTA,110
13803,SEPTA,110
13804,SEPTA,110
13806,SEPTA,77
13808,SEPTA,110
13810,SEPTA,110
13811,SEPTA,77
13816,SEPTA,110
13819,SEPTA,110
13821,SEPTA,77
13828,SEPTA,110
13830,SEPTA,77
13834,SEPTA,110
13882,SEPTA,125
13905,SEPTA,33
13905,SEPTA,331
13905,SEPTA,56
1391,SEPTA,31
1391,SEPTA,711
1396,SEPTA,31
1396,SEPTA,711
1398,SEPTA,31
1399,SEPTA,31
14,SEPTA,14
1400,SEPTA,31
1401,SEPTA,31
14057,SEPTA,65
14058,SEPTA,65
14059,SEPTA,65
14059,SEPTA,802
14060,SEPTA,65
14061,SEPTA,65
14063,SEPTA,65
14064,SEPTA,65
14065,SEPTA,65
14066,SEPTA,65
14067,SEPTA,65
14068,SEPTA,65
14069,SEPTA,65
14071,SEPTA,65
14072,SEPTA,65
14079,SEPTA,12
14079,SEPTA,21
14079,SEPTA,42
14079,SEPTA,9
14080,SEPTA,12
14080,SEPTA,21
14080,SEPTA,42
14080,SEPTA,9
14081,SEPTA,12
14081,SEPTA,21
14081,SEPTA,42
14081,SEPTA,9
14084,SEPTA,12
14084,SEPTA,21
14084,SEPTA,42
14084,SEPTA,9
14085,SEPTA,12
14085,SEPTA,21
14085,SEPTA,42
14085,SEPTA,9
14086,SEPTA,12
14086,SEPTA,21
14086,SEPTA,42
14086,SEPTA,9
14088,SEPTA,12
14088,SEPTA,21
14088,SEPTA,42
14088,SEPTA,9
14089,SEPTA,12
14089,SEPTA,21
14089,SEPTA,42
14089,SEPTA,9
141,SEPTA,4
1417,SEPTA,703
1417,SEPTA,WPS
1423,SEPTA,703
1423,SEPTA,WPA
143,SEPTA,16
143,SEPTA,4
143,SEPTA,701
145,SEPTA,27
1461,SEPTA,WR1
1461,SEPTA,WR2
1461,SEPTA,WR3
1461,SEPTA,WR4
1465,SEPTA,28
1465,SEPTA,WR6
14656,SEPTA,68
1475,SEPTA,20
1475,SEPTA,50
1475,SEPTA,84
1475,SEPTA,WR5
1475,SEPTA,WR6
14752,SEPTA,33
14752,SEPTA,39
14754,SEPTA,33
14754,SEPTA,39
1476,SEPTA,1
1476,SEPTA,14
1476,SEPTA,84
1476,SEPTA,WR2
1476,SEPTA,WR5
14781,SEPTA,12
14781,SEPTA,64
14785,SEPTA,113
14785,SEPTA,117
14785,SEPTA,119
14785,SEPTA,37
148,SEPTA,4
14817,SEPTA,104
14817,SEPTA,120
14818,SEPTA,104
14819,SEPTA,104
14826,SEPTA,105
14826,SEPTA,106
14832,SEPTA,109
14833,SEPTA,109
14835,SEPTA,109
14837,SEPTA,109
14840,SEPTA,109
14842,SEPTA,107
14842,SEPTA,109
14844,SEPTA,109
14845,SEPTA,109
14849,SEPTA,110
14849,SEPTA,111
14852,SEPTA,110
14852,SEPTA,111
14853,SEPTA,111
14866,SEPTA,107
1487,SEPTA,84
1487,SEPTA,WR2
1487,SEPTA,WR3
1488,SEPTA,58
14880,SEPTA,21
