stop_id,agency_id,stop_name
12366,SEPTA,Ridge Av & Caledonia St - MBFS
12370,SEPTA,Ridge Av & Bells Mill Rd - FS
12372,SEPTA,Ridge Pk & Birch Dr
12374,SEPTA,Ridge Pk & Butler Pk - 2 MBNS
12391,SEPTA,Ridge Pk & Ash Ln - MBNS
12396,SEPTA,Ridge Pike & Butler Pike - MBFS
12397,SEPTA,Ridge Av & Ivins Rd
12398,SEPTA,Ridge Pk & Joshua Rd - FS
124,SEPTA,Roosevelt Blvd & C St
1240,SEPTA,NA
12401,SEPTA,Ridge Pk & Birch Dr - MBNS
12408,SEPTA,Ridge Av & Manatawna Av
1241,SEPTA,Rowland Av & Ryan Av
12410,SEPTA,Ridge Pk & Manor Rd
12413,SEPTA,Ridge Pk & Mulberry Ln
12415,SEPTA,Ridge Av & Northwestern Av - MBNS
1242,SEPTA,Cottman Av & Hawthorne St
12438,SEPTA,Ridge Pk & Spring Mill Rd
1246,SEPTA,Bridge St & Torresdale Av
1249,SEPTA,Lycoming St & 10th St
1250,SEPTA,Richmond St & Venango St
1266,SEPTA,Richmond St & Venango St
12784,SEPTA,Manayunk Av & Roxborough Av
12964,SEPTA,South Gulph Rd & Brooks Rd
12965,SEPTA,South Gulph Rd & Church Rd - FS
12967,SEPTA,South Gulph Rd & DeKalb Pk - FS
12968,SEPTA,South Gulph Rd & Valley View Rd - MBNS
12970,SEPTA,South Gulph Rd & Henderson Rd
12972,SEPTA,South Gulph Rd & Lewis Rd
12973,SEPTA,South Gulph Rd & Long Rd - FS
12974,SEPTA,South Gulph Rd & Orchard Rd - FS
12976,SEPTA,South Gulph Rd & Glen Arbor Court - FS
130,SEPTA,Walnut St & Broad St - MBNS
13021,SEPTA,Sedgley Av & 10th St
1308,SEPTA,Henry Av & Cinnaminson St
131,SEPTA,Walnut St & 23rd St
13106,SEPTA,Somerset St & Amber St
13107,SEPTA,Somerset St & Belgrade St
13110,SEPTA,Somerset St & Frankford Av
13111,SEPTA,Somerset St & Gaul St
13112,SEPTA,Somerset St & Jasper St
13113,SEPTA,Somerset St & Thompson St
13114,SEPTA,Somerset St & Trenton Av
13115,SEPTA,Somerset St & Tulip St
1313,SEPTA,Poplar St & 29th St
13188,SEPTA,16th St & Spring Garden St
132,SEPTA,Roosevelt Blvd & Mascher St
1321,SEPTA,Vine St & 19th St
133,SEPTA,Lyceum  Av & Ridge Av
13353,SEPTA,State Rd & Arlington Av - FS
13357,SEPTA,State Rd & Beverly Blvd
13363,SEPTA,State Rd & Childs Av
13368,SEPTA,State Rd & Cornell Av
13374,SEPTA,State Rd & Eaton Rd
13377,SEPTA,State Rd & Eaton Rd - FS
13381,SEPTA,State Rd & Golf View Rd
13383,SEPTA,State Rd & Hampshire Rd
13387,SEPTA,State Rd & Hilltop Rd
13392,SEPTA,State Rd & Kenwood Rd
1340,SEPTA,Washington Ln & Chew Av
13400,SEPTA,State Rd & Mason Av
13401,SEPTA,State Rd & Meetinghouse Ln
13404,SEPTA,State Rd & Merion Av
13406,SEPTA,State Rd & Morgan Av
13407,SEPTA,State Rd & Golfview Rd
1341,SEPTA,Greene St & Chelten Av - FS
13413,SEPTA,State Rd & Ormond Av
13414,SEPTA,State Rd & Park Av
1342,SEPTA,Wissahickon Av & Ruffner St
13424,SEPTA,State Rd & N State Rd - MBFS
13425,SEPTA,State Rd & Rolling Rd
13428,SEPTA,State Rd & Sellers Av
13429,SEPTA,State Rd & Shadeland Av
1343,SEPTA,Erie Av & Broad St - H FS
13430,SEPTA,State Rd & Springfield Rd - FS
13435,SEPTA,State Rd & Turner Av
13441,SEPTA,State Rd & Weymouth Rd - FS
13442,SEPTA,State Rd & Windermere Rd
1346,SEPTA,Wissahickon Av & Roberts Av - MBNS
1347,SEPTA,Wissahickon Av & Roberts Av
1348,SEPTA,Greene St & Chelten Av - FS
1349,SEPTA,Washington Ln & Chew Av
1350,SEPTA,Andrews Av & Cheltenham Av
1351,SEPTA,Mt Pleasant Av & Germantown Av
13520,SEPTA,Street Rd & Kingston Way
13528,SEPTA,Street Rd & Richlieu Rd
13534,SEPTA,Street Rd & Tillman Dr - north
136,SEPTA,Cheltenham Av & Ogontz Av Loop
137,SEPTA,Roosevelt Blvd & 2nd St
13788,SEPTA,Township Line Rd & Alexander Av - FS
13794,SEPTA,Township Line Rd & Burmont Rd
13795,SEPTA,Township Line Rd & Cedar Rd
13798,SEPTA,Township Line Rd & Church Rd
13799,SEPTA,Township Line Rd & Lansdowne Av - FS
13803,SEPTA,Township Line Rd & Drexel Av - FS
13804,SEPTA,Township Line Rd & Edmonds Av
13806,SEPTA,Township Line Rd & Perry St - MBNS
13808,SEPTA,Township Line Rd & Foss Av
13810,SEPTA,Township Line Rd & Roosevelt Dr
13811,SEPTA,Township Line Rd & High School Rd
13816,SEPTA,Township Line Rd & Lansdowne Av
13819,SEPTA,Township Line Rd & Lexington Av - FS
13821,SEPTA,Township Line Rd & New 2nd St
13828,SEPTA,Township Line Rd & State Rd
13830,SEPTA,Township Line & Valley Glen Rd - FS
13834,SEPTA,Township Line Rd & Myrtlwood Av
13882,SEPTA,Valley Forge Rd & Geerdes Blvd
13905,SEPTA,23rd St & Venango St Loop
1391,SEPTA,Market St & 56th St
1396,SEPTA,Market St & 56th St - FS
1398,SEPTA,Market St & 57th St - FS
1399,SEPTA,Market St & 58th St - FS
14,SEPTA,Townsend Rd & McNulty Rd - MBNS 2
1400,SEPTA,Market St & 59th St - FS
1401,SEPTA,Market St & 54th St - FS
14057,SEPTA,Walnut Ln & Daniel St
14058,SEPTA,Walnut Ln & Daniel St
14059,SEPTA,Walnut Ln & Germantown Av
14060,SEPTA,Walnut Ln & Greene St
14061,SEPTA,Walnut Ln & Houghton St
14063,SEPTA,Walnut Ln & Park Line Dr - FS
14064,SEPTA,Walnut Ln & Kingsley St
14065,SEPTA,Walnut Ln & Kingsley St
14066,SEPTA,Walnut Ln & Magdalena St
14067,SEPTA,Walnut Ln & Morris St - MBFS
14068,SEPTA,Walnut Ln & Park Ln
14069,SEPTA,Walnut Ln & Park Ln - FS
14071,SEPTA,Walnut Ln & Wayne Av
14072,SEPTA,Walnut Ln & Wissahickon Av - FS
14079,SEPTA,Walnut St & 15th St
14080,SEPTA,Walnut St & 16th St
14081,SEPTA,Walnut St & 17th St
14084,SEPTA,Walnut St & 18th St
14085,SEPTA,Walnut St & 19th St
14086,SEPTA,Walnut St & 20th St
14088,SEPTA,Walnut St & 21st St
14089,SEPTA,Walnut St & 22nd St
141,SEPTA,9th St & Erie Av
1417,SEPTA,56th St & Chestnut St - FS
1423,SEPTA,58th St & Kingsessing Av
143,SEPTA,Broad St & Girard Av
145,SEPTA,Spruce St & 15th St
1461,SEPTA,NA
1465,SEPTA,Rhawn St & Verree Rd - FS
14656,SEPTA,Island Av & Woodland Av
1475,SEPTA,Academy Rd & Torrey Rd
14752,SEPTA,York St & 21st St - MBFS
14754,SEPTA,York St & 22nd St
1476,SEPTA,Southhampton Rd & Roosevelt - MBNS
14781,SEPTA,Grays Ferry Av & 28th St
14785,SEPTA,Chester Transportation Center
148,SEPTA,Broad St & Washington Av
14817,SEPTA,West Chester Pk & Media Line Rd
14818,SEPTA,11 Campus Blvd
14819,SEPTA,N Crum Creek Rd & Crum Creek Rd - FS
14826,SEPTA,Lancaster Av & Rittenhouse Place
14832,SEPTA,Baltimore Av & Lansdowne Av - FS
14833,SEPTA,Baltimore Av & Glenwood Av
14835,SEPTA,Baltimore Pk & Woodland Av
14837,SEPTA,Chester Rd & Rutgers Av - FS
14840,SEPTA,Chester Rd & Rutgers Av
14842,SEPTA,Baltimore Pk & Woodland Av
14844,SEPTA,Baltimore Pk & Ogden St
14845,SEPTA,Baltimore Av & Lansdowne Av - FS
14849,SEPTA,State Rd & Sproul Rd
14852,SEPTA,State Rd & Sproul Rd - FS
14853,SEPTA,State Rd & Township Line Rd - FS
14866,SEPTA,Garrett Rd & Shadeland Av
1487,SEPTA,Southampton Rd & Carter Rd
1488,SEPTA,Bustleton Av & Cottman Av
14880,SEPTA,Walnut St & 5th St - FS
14881,SEPTA,Walnut St & 7th St
14882,SEPTA,Walnut St & 8th St
14883,SEPTA,Walnut St & 9th St
14884,SEPTA,Walnut St & 10th St
14885,SEPTA,Walnut St & 11th St
14886,SEPTA,Walnut St & 12th St
14887,SEPTA,Walnut St & 13th St
14888,SEPTA,Ogontz Av & Walnut Ln
14889,SEPTA,Champlost Av & 17th St
1489,SEPTA,Bustleton Av & Proctor Rd
14890,SEPTA,Ogontz Av & Church Ln
14891,SEPTA,Ridge Av & Markle St
14892,SEPTA,Ridge Av & Walnut Ln
14893,SEPTA,Ridge Av & Pensdale St
14895,SEPTA,Ogontz Av & 65th Av
14899,SEPTA,Ogontz Av & Tulpehocken St
14900,SEPTA,Ogontz Av & Washington Ln
14901,SEPTA,Ogontz Av & 77th Av
14902,SEPTA,Ogontz Av & 78th Av
14903,SEPTA,Ogontz Av & 79th Av
14906,SEPTA,Chestnut St & 19th St
14907,SEPTA,Chestnut St & 16th St
14908,SEPTA,Chestnut St & 10th St
14909,SEPTA,Chestnut St & 4th St - MBNS
14910,SEPTA,19th St & Wallace St
14911,SEPTA,19th St & Cherry St
14912,SEPTA,19th St &  & Arch St
14913,SEPTA,Market St & 5th St
14915,SEPTA,Chestnut St & Front St
14916,SEPTA,20th St & Arch St
14917,SEPTA,20th St & Wood St
14918,SEPTA,College Av & Ridge Av
14919,SEPTA,19th St & Cecil B Moore Av
1492,SEPTA,Krewstown Rd & Rising Sun Av
14920,SEPTA,20th St & Spring Garden St
14921,SEPTA,20th St & Wallace St
14922,SEPTA,Diamond St & 20th St
14923,SEPTA,19th St & Chestnut St - FS
14924,SEPTA,21st St & Dauphin St
14926,SEPTA,Brown St & 27th St
14927,SEPTA,23rd St & Fairmount Av
14928,SEPTA,Arch St & 21st St
14929,SEPTA,W Rittenhouse Square & Locust St
14930,SEPTA,Market St & 4th St
14931,SEPTA,Arch St & 2nd St
14932,SEPTA,Arch St & 9th St
14933,SEPTA,Arch St & 11th St
14934,SEPTA,16th St & Arch St - FS
14935,SEPTA,Arch St & 18th St
14937,SEPTA,Aspen St & 23rd St - FS
14938,SEPTA,Aspen St & 26th St
14939,SEPTA,27th St & Brown St
14941,SEPTA,Poplar St & 29th St
14942,SEPTA,29th St & Thompson St
14943,SEPTA,29th St & Master St
14947,SEPTA,29th St & Somerset St
14948,SEPTA,29th St & Cambria St
14949,SEPTA,29th St & Clearfield St
1495,SEPTA,Verree Rd & Marchman Rd - MBFS
14950,SEPTA,Allegheny Av & 29th St
14951,SEPTA,Allegheny Av & 28th St
14952,SEPTA,Henderson Rd & Queens Dr
14953,SEPTA,Mall Blvd & Court Blvd
14954,SEPTA,19th St & Spruce St
14956,SEPTA,19th St & Pine St
14958,SEPTA,19th St & Lombard St
14959,SEPTA,19th St & South St
14960,SEPTA,19th St & Bainbridge St
14961,SEPTA,19th St & Fitzwater St
14962,SEPTA,Swedesford Rd & Old Eagle School Rd - MBNS
14963,SEPTA,Swedesford Rd & West Valley Rd - FS
14964,SEPTA,Swedesford Rd & South Warner - MBNS
14965,SEPTA,North Warner Rd & North Gulph Rd
14967,SEPTA,DeKalb Pk & Allendale Rd - FS
14968,SEPTA,DeKalb Pk & Pinecrest Ln - FS
14969,SEPTA,DeKalb Pk & Kings Circle - MBNS
14970,SEPTA,Henderson Rd & Tyler Rd
14972,SEPTA,Henderson Rd & Hansen Access Rd
14974,SEPTA,Henderson Rd & Shoemaker Rd - MBFS
14975,SEPTA,South Gulph Rd & Crooked Ln
14977,SEPTA,South Gulph Rd & Glen Arbor Court
14978,SEPTA,Mall Blvd & Wills Blvd - MBFS
14979,SEPTA,Allendale Rd & 3rd Av
14982,SEPTA,1st Av & Allendale Rd - MBFS
14983,SEPTA,1st Av & Park Av
14984,SEPTA,North Gulph Rd & Guthrie Rd - FS
14986,SEPTA,South Gulph Rd & Hayley Jackson Way - FS
14989,SEPTA,Ridge Pk & Lynda Dr
14990,SEPTA,Ridge Pk & Barren Hill Rd - MBFS
14991,SEPTA,Ridge Av & Spring  Ln
